Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Sunstar Chaplain,EOE,Edge of Eternities,40,foil,rare,1,107476,83719626-3ff8-4566-9911-88212e753c69,0.14,false,false,near_mint,en,EUR
Planetary Annihilation,EOC,Edge of Eternities Commander,32,normal,rare,4,107043,65a07be7-1967-4db6-8868-94e2dde10ad5,0.5,false,false,near_mint,en,EUR
"Xu-Ifit, Osteoharmonist",EOE,Edge of Eternities,294,normal,rare,1,107497,98e7fb9e-44c2-4fa6-8d81-895f909ea9b7,1.3,false,false,near_mint,en,EUR
Gemstone Caverns,EOS,Edge of Eternities: Stellar Sights,16,normal,mythic,1,107093,930ff1c5-7f34-47b8-8e8b-720909cc6a69,29.99,false,false,near_mint,en,EUR
Devastating Onslaught,EOE,Edge of Eternities,361,foil,mythic,1,107412,3d043992-251c-40cb-b1bc-481ba2830cfe,11.95,false,false,near_mint,en,EUR
Space-Time Anomaly,EOE,Edge of Eternities,315,normal,rare,1,107520,b2e78e22-7a19-4e3a-93c5-6432bc5922ae,0.4,false,false,near_mint,en,EUR
Nesting Grounds,EOS,Edge of Eternities: Stellar Sights,76,normal,rare,1,107143,bc20f043-aec6-405f-aa85-57a16bb037f9,1.79,false,false,near_mint,en,EUR
Icetill Explorer,EOE,Edge of Eternities,192,foil,rare,4,107559,d9482aab-6ddf-48e1-84fa-b13d5ff81e69,7.88,false,false,near_mint,en,EUR
Extinguisher Battleship,EOE,Edge of Eternities,242,foil,rare,1,107022,5541cdd2-84a6-4667-83eb-fffbe5b3cd3d,0.5,false,false,near_mint,en,EUR
Godless Shrine,EOE,Edge of Eternities,280,normal,rare,1,107067,7bb18340-5507-44da-b008-6b010daad617,7.0,false,false,near_mint,en,EUR
Creeping Tar Pit,EOS,Edge of Eternities: Stellar Sights,9,normal,rare,2,107508,a2184faf-6fa0-4d3c-b811-814beffe4320,0.49,false,false,near_mint,en,EUR
Nova Hellkite,EOE,Edge of Eternities,309,foil,rare,2,107155,c627d558-98e8-459e-860b-7ac4dfac44de,3.4,false,false,near_mint,en,EUR
Secluded Starforge,EOE,Edge of Eternities,257,foil,rare,1,107514,a997ff9f-045a-44a2-983d-f36414cef1ab,0.2,false,false,near_mint,en,EUR
Insight Engine,EOC,Edge of Eternities Commander,26,normal,rare,4,107564,e1849b92-feac-4e41-84f1-728a566446da,0.95,false,false,near_mint,en,EUR
Lightstall Inquisitor,EOE,Edge of Eternities,320,normal,rare,1,107754,ad782559-9b45-4a87-8ae6-82be6fd32f76,2.55,false,false,near_mint,en,EUR
Scavenger Grounds,EOS,Edge of Eternities: Stellar Sights,37,foil,rare,1,107149,c287ec37-c54e-4df8-a7be-50d6c4ffc744,1.54,false,false,near_mint,en,EUR
Cosmogoyf,EOE,Edge of Eternities,313,foil,rare,2,106961,15b98944-23c9-4609-b323-7925adaa9aac,5.5,false,false,near_mint,en,EUR
Elegy Acolyte,EOE,Edge of Eternities,97,foil,rare,1,107157,c69ed7c7-1f49-4299-b3e6-75150258ac59,0.59,false,false,near_mint,en,EUR
Thrumming Hivepool,EOE,Edge of Eternities,356,foil,rare,1,107203,ef76c1af-394d-4ab6-b89f-d0c6009c8299,9.45,false,false,near_mint,en,EUR
Lotus Field,EOS,Edge of Eternities: Stellar Sights,23,normal,mythic,1,107567,e2fdbc99-7696-434e-bbc5-366393ea7f04,3.44,false,false,near_mint,en,EUR
Astelli Reclaimer,EOE,Edge of Eternities,288,foil,rare,1,107204,f01aaada-2525-4f92-83e8-bbc61fa7b9cd,1.4,false,false,near_mint,en,EUR
Sledge-Class Seedship,EOE,Edge of Eternities,208,foil,rare,2,107562,dc0cb4b6-cc20-49ea-84b2-2f3af3b0a19e,0.5,false,false,near_mint,en,EUR
"Kavaron, Memorial World",EOE,Edge of Eternities,281,foil,mythic,1,107229,0f03d025-3ec8-4ae4-93e3-0fb96e105b7f,10.5,false,false,near_mint,en,EUR
Pain for All,EOE,Edge of Eternities,151,foil,rare,1,107553,d2948913-817b-4715-92d5-ed3cde347be7,0.8,false,false,near_mint,en,EUR
Horizon Explorer,EOC,Edge of Eternities Commander,35,normal,rare,5,107004,3ed072ea-437b-472c-8a37-712654aef264,2.5,false,false,near_mint,en,EUR
"Dyadrine, Synthesis Amalgam",EOE,Edge of Eternities,298,normal,rare,1,107411,3cba1ffa-9b43-41f9-a5ea-57cd48013c1c,0.35,false,false,near_mint,en,EUR
Shambling Vent,EOS,Edge of Eternities: Stellar Sights,38,normal,rare,1,107469,7f39bc7a-129e-4d52-8024-396c06906a45,0.14,false,false,near_mint,en,EUR
"Ragost, Deft Gastronaut",EOE,Edge of Eternities,224,foil,rare,1,106939,011374c3-f69d-4573-8c32-5bd0fe083d6a,0.38,false,false,near_mint,en,EUR
Eumidian Hatchery,EOC,Edge of Eternities Commander,40,normal,rare,5,106937,00281944-a9d3-4294-8f63-34ad09e4c627,0.89,false,false,near_mint,en,EUR
Starwinder,EOE,Edge of Eternities,291,normal,rare,1,107448,637a4457-5600-4d33-81c7-f4009df3d8a5,2.85,false,false,near_mint,en,EUR
Meteor Crater,EOS,Edge of Eternities: Stellar Sights,26,normal,rare,2,107546,cc67cb3d-76ae-4394-9f45-41865b12edf5,0.4,false,false,near_mint,en,EUR
Consult the Star Charts,EOE,Edge of Eternities,51,foil,rare,1,107113,a16a6555-2e3a-4587-aacd-0307d696b26c,4.0,false,false,near_mint,en,EUR
Pain for All,EOE,Edge of Eternities,337,normal,rare,1,107251,2a9e9951-7ded-41de-808f-8a0fea964307,1.64,false,false,near_mint,en,EUR
Cathedral of War,EOS,Edge of Eternities: Stellar Sights,51,foil,rare,1,107390,26b000cd-3f1e-4a97-9a20-add9d98d17e4,13.48,false,false,near_mint,en,EUR
Entropic Battlecruiser,EOE,Edge of Eternities,99,foil,rare,2,107545,cc59796b-9025-44b6-a188-cf6684ebffb9,0.33,false,false,near_mint,en,EUR
Frenzied Baloth,EOE,Edge of Eternities,183,foil,rare,1,107158,c72d85e9-a0bc-4f73-8d73-c58843577f4e,5.0,false,false,near_mint,en,EUR
Festering Thicket,EOC,Edge of Eternities Commander,41,normal,rare,3,107180,da778e94-0d73-4be4-abcc-7d0ae418927c,0.7,false,false,near_mint,en,EUR
Chorale of the Void,EOE,Edge of Eternities,331,normal,rare,1,107458,6fda7329-0a1e-4921-bc6f-f2f4f1544878,0.98,false,false,near_mint,en,EUR
Meteor Crater,EOS,Edge of Eternities: Stellar Sights,26,foil,rare,1,107546,cc67cb3d-76ae-4394-9f45-41865b12edf5,2.45,false,false,near_mint,en,EUR
Swarmyard,EOS,Edge of Eternities: Stellar Sights,42,normal,rare,2,107393,2b4ee0e7-7528-4fdc-a768-055d2c097f05,1.8,false,false,near_mint,en,EUR
"Mm'menon, the Right Hand",EOE,Edge of Eternities,290,normal,rare,2,107433,53bd9149-e157-4f0b-becf-0b64f47dbad3,2.0,false,false,near_mint,en,EUR
Nova Hellkite,EOE,Edge of Eternities,148,foil,rare,1,107011,424af0d0-398c-4d78-9ad5-2171bf1bcbd1,0.85,false,false,near_mint,en,EUR
"Evendo, Waking Haven",EOE,Edge of Eternities,253,foil,mythic,1,107398,2fa09104-acbe-4410-b101-2fe6ac28efde,22.0,false,false,near_mint,en,EUR
Warping Wail,SPG,Special Guests,119,foil,mythic,1,107581,f461d613-518f-41cf-b08f-0778d40d3cf7,12.0,false,false,near_mint,en,EUR
Blast Zone,EOS,Edge of Eternities: Stellar Sights,92,foil,rare,1,107730,68a19f91-82b2-4f60-94a1-911d817125a1,13.99,false,false,near_mint,en,EUR
Singularity Rupture,EOE,Edge of Eternities,350,normal,rare,1,107192,e88877c1-0a77-4730-8bc3-5ca0dbdd4566,0.95,false,false,near_mint,en,EUR
